tmdbId,vote_average,vote_count,popularity
9099,5.871,373,5.7305
2021,6.718,55,2.6411
61752,4.936,118,3.8225
10988,5.516,308,5.3801
12652,6.9,138,2.3658
10684,6.524,999,3.3396
954,7.013,9644,6.9157
68445,6.3,25,1.0
18989,6.058,81,4.0231
8840,6.541,2075,3.5109
11107,5.464,169,3.1619
10539,6.574,1388,4.4091
10543,6.511,943,5.6291
18414,6.114,79,2.6438
11902,7.727,731,1.3261
25087,5.38,138,8.1287
5801,7.846,465,1.7874
896,8.115,261,1.8127
3065,6.523,220,5.5504
2300,6.813,6247,24.6285
8069,6.0,792,5.1181
27768,6.616,31,1.4477
221917,6.182,11,2.7631
8072,6.926,586,1.6467
33245,6.133,36,2.3376
27281,5.2,185,1.3015
40001,7.202,217,2.2809
29621,4.816,79,1.9583
20762,6.923,530,2.1562
37144,5.661,84,4.9187
12656,5.4,172,6.7123
38867,4.327,49,4.3271
25969,6.595,95,3.2471
43634,5.3,47,1.9331
9103,6.17,765,7.2582
29649,6.1,18,4.3689
10990,5.983,317,4.2047
8866,6.048,332,5.1224
12233,6.722,1651,6.4306
23449,5.333,147,8.6183
36355,5.5,334,2.3046
922,7.297,1659,1.9635
11876,6.473,149,5.1904
11687,7.129,2008,4.0727
9304,5.791,575,4.7903
503475,7.6,5,0.291
73183,7.6,11,2.1364
9100,6.776,1986,3.8614
20759,5.257,101,4.4543
46063,5.644,101,2.0896
32513,6.8,76,2.0119
36915,5.256,84,0.8012
9802,7.136,4973,5.3109
21588,6.902,553,3.7452
664,6.545,3674,5.1442
11867,4.101,466,1.6054
9323,7.9,3683,7.3437
10280,5.884,657,6.1637
10535,5.399,721,4.7088
532,7.567,885,2.0185
16299,4.69,79,6.5885
10547,5.994,790,3.7753
935,8.124,5941,3.7689
40751,7.089,375,1.9431
85778,7.0,8,0.1293
11101,7.319,603,7.5032
9826,5.273,594,1.5224
9879,5.553,1132,9.1918
22621,6.645,86,3.6233
7095,6.301,1317,3.8471
26890,6.117,90,0.7214
77771,6.7,103,2.6206
41225,6.2,177,3.798
627,7.961,10094,4.2295
32872,3.871,35,4.2616
602,6.9,10058,8.0845
14553,6.7,588,9.2522
9566,6.004,825,4.5684
10545,7.121,5220,8.8844
9894,5.995,2561,4.6743
11543,6.515,928,7.3204
9268,6.085,1935,5.6762
9327,5.6,3024,4.4419
81949,5.708,24,0.6903
44535,5.0,16,3.0978
11228,6.112,1618,2.2006
10779,6.915,1641,7.7303
26748,7.0,389,4.0895
38223,6.036,193,2.9682
9294,6.5,1270,2.2575
49963,6.058,52,1.3111
11363,5.448,262,3.6708
1645,7.387,2765,10.6043
31546,5.377,65,3.1893
36344,5.833,138,3.1947
18550,5.6,240,2.2834
11511,4.149,289,3.6855
